,age,taille,poids,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,manquants
121,24,165.3,66.9,1930,3.0,0.32,599.0,948.83,10379.81877962131,0
122,73,166.9,69.0,4771,0.0,0.47,630.0,5231.748886883273,19719.5017886146,1
125,75,160.8,68.2,4778,0.0,0.64,614.0,5000.0,8980.312053464007,0
128,40,171.7,58.2,1899,5.0,0.11,342.0,5231.748886883273,500.0,1
131,57,174.0,83.7,4207,1.0,0.78,718.0,5231.748886883273,21549.82401911197,1
134,74,179.6,79.9,1998,3.0,0.59,774.0,5231.748886883273,500.0,1
136,40,177.6,85.5,3474,4.0,0.71,496.0,1278.27,16752.789752354092,0
137,56,160.5,66.6,1908,5.0,0.47,318.0,5000.0,20423.84320730014,0
139,38,160.2,57.8,3112,2.5351401010565,0.7,822.0,623.38,500.0,1
140,33,167.5,38.5,2377,2.5351401010565,0.44,646.0,5000.0,18901.259369115334,1
144,43,153.2,69.8,4897,0.0,0.27,768.0,10000.0,35962.04802835945,0
146,61,167.0,57.3,2261,2.5351401010565,0.73,762.0,734.6,24528.671120857394,1
147,21,162.0,79.6,645,4.0,0.03,818.0,10000.0,500.0,0
149,75,147.7,54.3,2452,4.0,0.49,380.0,5231.748886883273,500.0,1
153,29,178.0,76.3,3121,1.0,0.72,701.0,5000.0,7051.1771065952,0
154,25,166.1,82.6,3384,2.5351401010565,0.65,630.0,10000.0,500.0,1
155,68,185.4,56.5,2285,1.0,0.21,792.0,10000.0,2724.919805153449,0
156,27,157.7,52.5,2483,2.0,0.99,666.0,33.29,26282.620988748466,0
159,35,178.6,70.5,4243,2.0,0.02,359.0,10000.0,14306.900020371317,0
163,62,165.3,86.1,4340,2.0,0.7,698.0,1004.67,500.0,0
164,23,170.3,91.7,1676,2.5351401010565,0.04,657.0,10000.0,500.0,1
171,59,172.6,70.3,3498,2.5351401010565,0.86,335.0,459.59,12032.654325077505,1
173,45,162.2,46.1,1084,4.0,0.98,820.0,10000.0,500.0,0
175,43,161.9,56.7,2740,4.0,0.1,486.0,773.51,6726.144540197254,0
181,23,162.8,42.8,1797,1.0,0.04,595.0,546.16,500.0,0
182,40,155.4,74.5,2165,1.0,0.84,846.0,887.1,500.0,0
186,48,188.6,81.7,1290,5.0,0.49,331.0,10000.0,8255.660172817976,0
187,75,164.3,65.9,1313,2.5351401010565,0.85,805.0,1260.4,5083.612822428259,1
189,75,175.4,79.0,2362,4.0,0.39,491.0,5000.0,500.0,0
198,20,179.9,73.5,3332,5.0,0.03,660.0,5231.748886883273,14791.054255033709,1
201,55,182.7,74.8,1771,0.0,0.09,301.0,5000.0,500.0,0
202,25,156.3,82.4,5431,2.5351401010565,0.29,505.0,5000.0,27702.156529405507,1
203,67,176.1,75.2,2979,4.0,0.56,376.0,5231.748886883273,30331.9324936551,1
210,53,178.0,43.5,2952,0.0,0.03,630.0,1101.41,24462.730419394706,0
216,67,164.9,64.9,951,2.5351401010565,0.35,329.0,5000.0,500.0,1
220,59,168.4,72.7,1251,4.0,0.86,710.0,926.12,4878.545755190827,0
222,40,173.7,61.6,1899,2.5351401010565,0.31,312.0,1414.5,23223.68674933023,1
224,55,147.3,95.3,1440,2.5351401010565,0.06,636.0,948.67,32053.702626437243,1
227,36,168.7,94.1,2002,0.0,0.23,651.0,5000.0,9001.546015414096,0
228,72,161.5,47.1,4216,2.5351401010565,0.29,476.0,10000.0,500.0,1
230,67,155.8,61.9,863,2.5351401010565,0.65,323.0,10000.0,500.0,1
232,70,170.0,68.5,500,2.5351401010565,0.92,796.0,548.48,24181.38134356665,1
235,69,173.4,51.2,1817,2.5351401010565,0.15,301.0,10000.0,500.0,1
238,38,169.3,96.0,3210,2.5351401010565,0.26,779.0,10000.0,30089.662669880072,1
243,46,173.9,58.2,2047,2.5351401010565,0.1,833.0,957.57,15966.5991061799,1
244,49,179.8,43.1,3214,2.5351401010565,0.55,788.0,303.13,7056.806036648549,1
247,22,160.1,71.0,2450,2.0,0.86,791.0,10000.0,500.0,0
250,51,184.7,62.0,2926,2.5351401010565,0.42,629.0,5000.0,35758.18072081153,1
251,34,170.4,86.6,2399,5.0,0.01,818.0,5000.0,11737.23847284871,0
252,71,169.8,73.9,1287,2.0,0.63,800.0,10000.0,2814.1386162062663,0
253,28,178.2,72.8,1768,2.0,0.71,830.0,5231.748886883273,500.0,1
259,74,169.1,76.3,1899,2.5351401010565,0.41,496.0,5000.0,20814.697568663774,1
260,21,169.3,74.0,3444,2.5351401010565,0.23,831.0,5000.0,500.0,1
262,75,184.8,58.6,3656,2.5351401010565,0.22,594.0,10000.0,3066.137791409429,1
263,37,158.0,66.9,4084,2.5351401010565,0.52,748.0,10000.0,9573.778332032196,1
264,24,180.3,99.8,2306,2.5351401010565,0.23,849.0,10000.0,4554.810431805047,1
265,47,173.5,75.8,2384,2.5351401010565,0.22,588.0,5000.0,6829.661938726994,1
266,23,158.8,44.8,1713,0.0,0.58,803.0,5231.748886883273,500.0,1
267,44,162.3,45.4,1962,1.0,0.7,363.0,10000.0,500.0,0
270,57,160.5,80.2,2623,2.0,0.54,562.0,10000.0,4383.465051415476,0
273,23,163.3,61.0,2360,2.5351401010565,0.87,349.0,10000.0,500.0,1
276,44,167.9,74.2,3485,2.5351401010565,0.78,500.0,5000.0,6950.691750123016,1
277,75,156.9,88.8,989,2.0,0.26,843.0,5231.748886883273,12906.990479801343,1
278,32,178.3,78.4,2538,2.0,0.91,458.0,5231.748886883273,21288.40814422946,1
285,53,173.3,55.2,699,4.0,0.82,521.0,989.81,9786.53291738366,0
287,32,177.5,71.4,1464,5.0,0.76,391.0,420.05,500.0,0
288,19,178.3,47.7,4022,3.0,0.53,474.0,5231.748886883273,20399.31047104829,1
289,50,175.3,69.6,2020,2.5351401010565,0.08,701.0,718.47,500.0,1
295,31,187.1,69.8,2649,2.5351401010565,0.03,471.0,10000.0,500.0,1
296,29,172.3,77.4,2483,4.0,0.71,721.0,10000.0,500.0,0
299,45,168.8,91.3,2906,1.0,0.44,662.0,1166.1,29132.162879314223,0
302,23,177.3,71.7,1513,3.0,0.65,682.0,5000.0,500.0,0
306,26,177.4,34.3,3531,2.5351401010565,0.4,521.0,622.09,8280.067769939777,1
311,63,166.0,92.2,930,1.0,0.46,303.0,10000.0,8042.88785006186,0
315,22,175.8,67.0,884,1.0,0.13,698.0,5231.748886883273,500.0,1
316,72,160.5,77.5,2445,5.0,0.85,438.0,5231.748886883273,500.0,1
317,51,175.3,60.4,2408,4.0,0.29,697.0,5231.748886883273,2050.7157398082786,1
321,46,188.4,71.2,2298,0.0,0.7,622.0,10000.0,500.0,0
323,34,175.5,94.5,2425,2.5351401010565,0.33,708.0,10000.0,23210.797866626606,1
324,70,170.6,53.7,3247,2.0,0.79,502.0,5231.748886883273,5257.865301498262,1
326,19,182.6,60.0,1382,1.0,0.97,460.0,1228.62,500.0,0
329,50,178.5,66.3,2501,2.5351401010565,0.6,458.0,567.95,24670.306600109925,1
330,34,175.5,82.6,3893,2.5351401010565,0.33,760.0,10000.0,7977.963403126492,1
332,70,169.1,71.9,4917,2.5351401010565,0.53,607.0,10000.0,13179.96915777943,1
335,60,162.5,93.2,4456,2.5351401010565,0.44,545.0,930.0,20788.62505341787,1
336,73,170.0,59.7,4222,2.5351401010565,0.03,531.0,691.24,500.0,1
337,66,180.2,87.2,4100,0.0,0.21,743.0,5231.748886883273,500.0,1
338,39,186.6,82.6,3149,2.5351401010565,0.85,600.0,688.67,22092.708515061127,1
341,49,186.6,65.8,1522,1.0,0.09,450.0,5231.748886883273,500.0,1
344,72,165.0,56.5,3613,4.0,0.21,749.0,5000.0,500.0,0
346,43,185.8,100.2,3269,4.0,1.0,470.0,5231.748886883273,500.0,1
349,22,188.2,104.0,3905,1.0,0.05,440.0,10000.0,18399.61442914501,0
352,48,169.2,76.4,1028,2.5351401010565,0.3,317.0,1018.92,500.0,1
354,47,151.2,62.3,2970,2.5351401010565,0.12,572.0,10000.0,500.0,1
358,45,164.5,82.7,2098,2.5351401010565,0.61,844.0,5000.0,500.0,1
365,66,168.4,44.0,1255,3.0,0.03,327.0,1035.16,500.0,0
366,29,167.9,84.7,2501,2.5351401010565,0.77,841.0,5000.0,8951.748512055701,1
367,25,161.3,50.5,1439,0.0,0.44,509.0,5000.0,500.0,0
368,39,171.8,71.4,2884,0.0,0.55,408.0,10000.0,22144.99931479974,0
376,63,166.7,61.9,1835,2.5351401010565,0.76,457.0,837.09,500.0,1
378,58,178.4,49.1,500,2.5351401010565,0.94,400.0,676.85,10725.625743409684,1
379,25,168.5,88.3,1191,4.0,0.74,566.0,704.13,3326.8459813784034,0
381,22,173.3,72.5,706,2.0,0.51,652.0,703.03,21170.17087603601,0
384,42,152.8,87.7,3511,0.0,0.55,705.0,5231.748886883273,500.0,1
385,67,170.0,85.0,1740,2.5351401010565,0.85,428.0,742.23,500.0,1
387,47,172.2,63.3,2137,2.5351401010565,0.66,317.0,10000.0,500.0,1
388,50,186.3,65.6,2480,2.5351401010565,0.97,355.0,10000.0,500.0,1
390,50,189.5,90.2,2397,2.5351401010565,0.97,809.0,5000.0,500.0,1
391,20,178.7,37.7,1942,4.0,0.84,321.0,5231.748886883273,15686.78132850265,1
398,66,156.1,85.5,3901,5.0,0.72,684.0,5000.0,3727.548198082763,0
399,38,192.8,86.4,2686,5.0,0.6,817.0,5231.748886883273,22474.032687219635,1
401,57,175.8,83.7,1663,2.5351401010565,0.17,687.0,10000.0,14645.02503793896,1
403,57,165.6,79.2,3673,4.0,0.1,425.0,5231.748886883273,1039.6814070236503,1
406,46,168.0,76.7,3967,5.0,0.93,525.0,10000.0,9547.31726536674,0
408,56,161.8,61.2,3104,2.5351401010565,0.84,763.0,10000.0,24714.428346144625,1
409,19,181.0,59.7,1625,2.5351401010565,0.58,479.0,10000.0,15784.65644627697,1
410,41,176.7,79.7,2967,2.5351401010565,0.42,738.0,1129.56,32043.77956862413,1
414,33,174.2,99.3,2295,2.5351401010565,0.13,578.0,10000.0,500.0,1
415,37,161.2,84.1,2011,1.0,0.53,805.0,5000.0,1113.829489318093,0
417,23,177.4,91.5,3667,2.0,0.4,580.0,5000.0,9768.568084750788,0
420,33,182.0,79.3,3289,2.5351401010565,0.83,494.0,5000.0,500.0,1
423,34,187.7,88.3,2910,2.5351401010565,0.57,505.0,1089.39,3478.2784107224384,1
427,20,178.6,67.4,3065,2.5351401010565,0.85,488.0,10000.0,500.0,1
430,70,173.1,88.4,3298,3.0,0.53,784.0,250.23,15117.602265736034,0
431,57,173.8,65.7,2225,2.0,0.15,650.0,10000.0,14448.913633781498,0
433,18,180.3,86.7,1659,4.0,0.44,684.0,10000.0,20424.118436131917,0
435,31,172.9,89.7,4499,2.5351401010565,0.69,437.0,10000.0,19896.889771322905,1
436,30,182.8,98.7,2488,1.0,0.74,484.0,5231.748886883273,6745.451611897515,1
437,26,167.0,119.4,3375,1.0,0.62,571.0,5000.0,9432.456600866117,0
438,64,167.3,66.8,2072,5.0,0.42,461.0,5231.748886883273,500.0,1
439,64,171.5,52.1,4057,4.0,0.03,326.0,5231.748886883273,32056.67702970769,1
440,35,192.9,79.2,4060,2.5351401010565,0.87,616.0,568.92,2685.6457974789305,1
441,32,171.1,91.5,4320,2.5351401010565,0.78,567.0,5000.0,500.0,1
443,54,179.5,66.0,1226,2.5351401010565,0.87,464.0,10000.0,25448.706079561383,1
447,59,153.5,82.6,500,2.5351401010565,0.04,475.0,10000.0,26151.816919055123,1
453,46,164.9,59.9,2151,5.0,0.75,628.0,5000.0,500.0,0
456,20,158.4,79.0,1349,3.0,0.0,646.0,10000.0,2970.217234330531,0
457,72,184.3,38.4,2567,2.5351401010565,0.87,672.0,10000.0,2682.73230928322,1
460,26,164.6,67.3,3343,2.0,0.93,348.0,962.72,6134.9710680646285,0
465,27,172.1,60.7,1470,2.5351401010565,0.4,414.0,350.55,10180.619908660536,1
469,23,165.9,67.2,4988,2.5351401010565,0.34,328.0,5000.0,40020.52297334525,1
470,20,173.4,66.2,2709,2.0,0.59,522.0,10000.0,500.0,0
473,24,176.8,90.1,1697,2.0,0.24,340.0,567.06,500.0,0
477,69,166.3,95.9,3205,3.0,0.22,374.0,5231.748886883273,500.0,1
478,40,183.1,81.7,568,2.5351401010565,0.5,775.0,10000.0,1254.7930227582888,1
480,35,158.7,67.8,3549,2.5351401010565,0.96,558.0,5000.0,500.0,1
483,56,157.2,43.8,2262,2.5351401010565,0.72,794.0,5000.0,16085.86547001797,1
485,26,157.9,91.9,3839,2.5351401010565,0.47,383.0,5000.0,33841.40719796205,1
487,53,170.5,75.7,2313,2.5351401010565,0.35,650.0,1187.95,20847.421828189872,1
489,27,164.5,61.0,3102,2.5351401010565,0.8,793.0,5000.0,10455.281361547186,1
491,64,170.7,81.4,2802,2.5351401010565,0.74,716.0,336.97,24038.777163130195,1
498,60,169.6,57.5,2484,2.5351401010565,0.12,742.0,975.69,21369.24419698963,1
500,30,171.4,49.4,2950,5.0,0.98,381.0,635.04,8579.126158269033,0
501,36,171.3,72.6,1623,0.0,0.44,358.0,5231.748886883273,500.0,1
504,66,159.5,89.7,2235,2.5351401010565,0.44,651.0,10000.0,1262.3235537061464,1
505,62,174.2,78.6,1773,2.5351401010565,0.19,594.0,5000.0,24298.23407125733,1
506,40,166.9,102.2,2784,2.5351401010565,0.89,744.0,10000.0,23796.97803650985,1
510,67,163.9,72.1,3389,0.0,0.06,806.0,5000.0,500.0,0
519,43,166.8,61.8,4021,2.5351401010565,0.43,404.0,10000.0,21298.81579596581,1
523,36,176.0,72.7,2026,3.0,0.04,736.0,5000.0,500.0,0
524,40,172.6,62.8,3895,4.0,0.28,305.0,10000.0,26830.76427175912,0
526,39,178.8,53.6,2570,2.5351401010565,0.71,326.0,5000.0,26943.41956696861,1
527,41,179.7,74.0,1787,4.0,0.94,335.0,1028.93,500.0,0
529,70,180.5,60.4,2480,2.5351401010565,0.76,694.0,10000.0,10179.386859557331,1
530,52,148.2,69.9,2488,2.5351401010565,0.22,354.0,10000.0,500.0,1
531,75,145.4,81.4,2324,2.0,0.66,387.0,10000.0,500.0,0
532,38,161.7,126.3,2303,2.0,0.69,378.0,1283.23,500.0,0
534,24,188.0,72.7,2663,2.5351401010565,0.49,655.0,352.86,10047.717232069095,1
535,66,164.5,66.9,500,2.5351401010565,0.97,696.0,10000.0,500.0,1
536,40,182.4,60.9,3360,5.0,0.3,732.0,5000.0,19703.480412800287,0
537,28,170.7,88.9,2353,2.5351401010565,0.65,345.0,10000.0,5889.092729643717,1
538,46,162.7,45.7,500,2.5351401010565,0.8,557.0,1175.47,23936.14710913469,1
540,25,164.7,64.2,2394,4.0,0.36,726.0,10000.0,12317.093619693276,0
546,62,190.6,47.5,3445,2.5351401010565,0.16,704.0,5000.0,500.0,1
547,45,167.2,50.1,2753,0.0,0.96,484.0,543.38,500.0,0
548,61,155.3,67.4,1144,2.5351401010565,0.89,300.0,10000.0,500.0,1
550,70,152.5,61.1,1473,2.5351401010565,0.78,720.0,5000.0,500.0,1
553,28,155.8,82.9,1898,2.5351401010565,0.84,409.0,5000.0,500.0,1
555,57,176.3,58.6,2078,2.5351401010565,0.03,520.0,5000.0,500.0,1
557,30,174.4,53.0,2484,2.0,0.96,839.0,10000.0,13403.464193304111,0
558,26,168.2,90.0,3411,1.0,0.65,422.0,5000.0,28468.332550649942,0
560,54,156.4,45.6,4744,5.0,0.9,761.0,5231.748886883273,15944.351571310635,1
561,57,172.5,50.8,500,1.0,0.6,440.0,5000.0,500.0,0
568,66,170.9,56.2,1414,5.0,0.42,651.0,197.88,7879.098508780672,0
569,65,183.9,109.5,2517,2.5351401010565,0.54,431.0,5000.0,500.0,1
571,54,157.6,80.2,3732,0.0,0.03,755.0,5231.748886883273,10625.676850883963,1
574,25,178.0,69.9,2679,2.5351401010565,0.8,504.0,5000.0,24776.40156737597,1
578,18,179.5,94.5,5645,5.0,0.44,690.0,10000.0,23263.81823794237,0
579,33,173.9,69.8,3743,2.5351401010565,0.94,735.0,10000.0,500.0,1
580,29,184.2,69.4,3562,5.0,0.1,753.0,5231.748886883273,25932.37750370768,1
582,65,184.2,66.6,2940,2.5351401010565,0.84,642.0,10000.0,500.0,1
584,75,174.1,67.0,3201,2.5351401010565,0.9,706.0,10000.0,10974.19548310474,1
588,43,169.3,85.4,3289,2.5351401010565,0.85,448.0,582.39,22364.985659357644,1
589,36,159.1,76.5,3055,2.0,0.54,686.0,5231.748886883273,500.0,1
593,62,158.5,63.6,2434,2.5351401010565,0.95,473.0,5000.0,500.0,1
597,31,159.1,68.5,3060,3.0,0.11,739.0,5000.0,8243.367217368506,0
598,30,154.2,85.8,2997,3.0,0.87,805.0,5231.748886883273,500.0,1
599,32,175.1,75.4,1167,2.5351401010565,0.38,349.0,719.08,3328.8424402473306,1
602,52,170.2,60.8,2812,2.5351401010565,0.25,648.0,10000.0,500.0,1
603,22,182.1,83.0,2232,2.0,0.62,569.0,5231.748886883273,500.0,1
604,66,184.0,68.0,1526,2.5351401010565,0.08,407.0,5000.0,9095.58278338632,1
609,70,180.2,74.5,3329,0.0,0.72,612.0,10000.0,500.0,0
611,50,180.2,68.1,500,1.0,0.62,456.0,5000.0,500.0,0
613,28,161.1,57.2,3401,4.0,0.71,465.0,10000.0,32916.89585109401,0
614,21,172.9,81.7,3338,2.5351401010565,0.21,490.0,10000.0,500.0,1
615,42,165.3,75.5,1997,2.5351401010565,0.76,755.0,991.69,500.0,1
618,57,169.5,88.3,2371,4.0,0.69,825.0,543.26,23746.99647292048,0
619,51,164.0,74.9,500,3.0,0.24,513.0,10000.0,500.0,0
624,21,153.6,88.1,3070,2.5351401010565,0.58,791.0,5000.0,9825.729814473463,1
626,72,174.6,51.2,2655,1.0,0.09,321.0,10000.0,500.0,0
627,44,168.3,68.2,3123,2.5351401010565,0.65,806.0,5000.0,20396.247744681383,1
628,65,174.8,89.5,1058,2.5351401010565,0.46,576.0,1287.43,500.0,1
632,20,182.3,107.4,2613,2.5351401010565,0.25,658.0,10000.0,500.0,1
635,26,169.2,61.9,3535,2.5351401010565,0.88,649.0,5000.0,500.0,1
640,23,176.5,38.1,3998,2.5351401010565,0.63,713.0,418.79,500.0,1
646,67,178.2,74.6,2916,2.5351401010565,0.48,540.0,10000.0,500.0,1
650,70,168.0,75.2,2670,3.0,0.98,801.0,5000.0,36896.60980019855,0
652,39,180.4,59.6,2903,1.0,0.25,807.0,1055.61,500.0,0
653,69,161.8,50.0,2470,1.0,0.78,464.0,5000.0,10783.05855056268,0
656,37,153.2,70.8,500,3.0,0.69,400.0,5231.748886883273,12534.086087338055,1
657,31,168.0,59.6,3466,2.5351401010565,0.57,519.0,5000.0,17023.97520924748,1
660,44,162.8,89.8,2481,5.0,0.99,579.0,5000.0,14225.3372344427,0
662,50,168.5,55.5,1559,2.5351401010565,0.84,567.0,5000.0,500.0,1
664,70,149.7,70.0,3425,2.5351401010565,0.8,686.0,5000.0,18764.585626528544,1
665,31,192.3,59.7,943,2.0,0.47,360.0,10000.0,5572.693231935993,0
666,47,167.9,65.2,1358,2.5351401010565,0.49,305.0,10000.0,4586.889041982074,1
667,19,174.5,61.6,2779,3.0,0.09,411.0,10000.0,500.0,0
668,73,176.6,50.6,1621,3.0,0.76,385.0,5231.748886883273,16177.121288527109,1
669,38,153.6,68.7,1195,2.5351401010565,0.14,833.0,10000.0,500.0,1
675,25,158.5,68.9,500,0.0,0.14,331.0,5231.748886883273,3602.0572172903267,1
677,71,173.4,65.9,2425,2.5351401010565,0.99,381.0,5000.0,4133.895360615895,1
681,61,174.8,111.1,2613,0.0,0.34,670.0,5000.0,7438.027916673134,0
682,68,176.0,76.4,5345,1.0,0.63,363.0,5231.748886883273,28168.06385337335,1
696,43,161.4,64.6,3974,4.0,0.96,303.0,5231.748886883273,23670.74957331744,1
698,18,176.6,58.0,1285,2.5351401010565,0.72,667.0,5000.0,500.0,1
701,45,168.7,84.5,3686,2.0,0.87,390.0,566.08,7549.507251288014,0
707,50,194.4,65.0,2571,2.5351401010565,0.42,620.0,5000.0,15089.998384791275,1
712,25,174.2,48.3,500,4.0,0.26,562.0,10000.0,12483.11135845582,0
714,51,169.7,86.7,565,4.0,0.85,468.0,734.92,500.0,0
715,39,169.2,73.8,626,3.0,0.39,655.0,770.38,500.0,0
717,18,156.7,62.7,869,3.0,0.77,484.0,1053.52,500.0,0
718,68,172.0,69.2,3370,3.0,0.83,844.0,5231.748886883273,26325.54973326867,1
724,21,167.6,68.8,3155,2.0,0.76,510.0,5000.0,500.0,0
725,26,151.7,45.0,3151,5.0,0.29,363.0,5000.0,500.0,0
729,40,179.7,63.7,2542,2.0,0.29,421.0,10000.0,500.0,0
733,67,185.9,55.8,2073,5.0,0.17,517.0,5000.0,2957.735052299841,0
735,52,166.6,48.8,500,2.5351401010565,0.23,807.0,5000.0,500.0,1
738,34,168.2,50.6,2531,2.5351401010565,0.73,500.0,5000.0,500.0,1
739,47,177.7,73.0,1414,0.0,0.98,344.0,5000.0,13904.822032884444,0
745,24,171.7,93.9,2920,2.5351401010565,0.11,765.0,10000.0,500.0,1
748,33,151.8,64.7,2762,5.0,0.32,440.0,5231.748886883273,500.0,1
755,28,154.8,46.9,633,1.0,0.92,300.0,10000.0,3681.716862447288,0
756,25,161.0,47.6,3586,2.5351401010565,0.32,788.0,296.61,11435.755695720103,1
757,38,185.0,57.2,3344,2.0,0.69,791.0,5231.748886883273,500.0,1
759,67,163.3,103.8,3383,2.5351401010565,0.49,804.0,5000.0,2600.2234067969134,1
760,43,181.1,78.7,3568,1.0,0.46,784.0,1006.02,38581.58326076975,0
761,52,170.3,63.8,3605,1.0,0.61,546.0,5000.0,14852.347077061037,0
762,28,180.8,61.8,1995,5.0,0.25,488.0,5000.0,11408.76158074839,0
764,62,154.6,72.6,2619,2.0,0.35,670.0,10000.0,7589.296723322725,0
765,36,183.6,48.4,4122,0.0,0.03,615.0,281.27,37021.24314335338,0
766,29,173.0,65.5,2083,4.0,0.2,430.0,825.08,500.0,0
768,43,172.0,93.8,2119,2.0,0.6,682.0,5000.0,27709.49832108441,0
769,69,185.5,87.0,4204,2.5351401010565,0.79,332.0,874.31,500.0,1
770,46,160.4,90.0,606,2.5351401010565,0.8,562.0,10000.0,500.0,1
771,66,188.5,73.9,3578,2.5351401010565,0.83,790.0,5000.0,26303.44957979199,1
775,18,177.6,59.7,1775,1.0,0.41,573.0,5231.748886883273,8427.679988847724,1
777,41,164.1,40.1,2542,2.5351401010565,0.99,763.0,10000.0,10264.314606260545,1
782,64,157.1,74.4,1185,1.0,0.6,423.0,761.76,500.0,0
784,38,176.6,74.1,1930,1.0,0.5,595.0,5231.748886883273,500.0,1
789,67,165.3,53.5,2448,1.0,0.13,413.0,5000.0,500.0,0
791,36,151.3,85.3,3676,0.0,0.88,353.0,764.54,500.0,0
795,65,176.0,61.7,4607,0.0,0.52,523.0,867.14,500.0,0
797,53,173.8,54.8,2429,5.0,0.79,644.0,5000.0,500.0,0
801,35,177.4,84.1,1555,2.5351401010565,0.51,537.0,5000.0,4723.846046656456,1
804,62,172.3,72.8,2423,2.5351401010565,0.21,594.0,5000.0,13513.468560001344,1
806,32,162.5,52.9,3650,2.5351401010565,0.39,446.0,841.6,500.0,1
807,52,156.3,55.2,1467,2.5351401010565,0.51,561.0,10000.0,500.0,1
809,60,166.6,62.8,1996,3.0,0.99,541.0,10000.0,500.0,0
811,18,173.4,55.4,795,2.0,0.3,307.0,10000.0,500.0,0
